"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 10:18:18 UTC 2024","Mon Sep 02 10:18:19 UTC 2024","956","","com.fakestoreapi.tests.contract.ProductsContractTest","","com.fakestoreapi.tests.contract.ProductsContractTest","deveValidarProductsSchemaJson","deveValidarProductsSchemaJson()",""
"passed","Mon Sep 02 10:18:19 UTC 2024","Mon Sep 02 10:18:20 UTC 2024","995","","com.fakestoreapi.tests.functional.ProductsTest","","com.fakestoreapi.tests.functional.ProductsTest","deveListarTodosProdutos","deveListarTodosProdutos()",""
"passed","Mon Sep 02 10:18:16 UTC 2024","Mon Sep 02 10:18:17 UTC 2024","1611","","com.fakestoreapi.tests.health.HealthCheckTest","","com.fakestoreapi.tests.health.HealthCheckTest","productsHealthCheck","productsHealthCheck()",""
